new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
they've protests on the streets many people are displeased that doesn't feel like and it's neat,135.0,3.0,3.0,1.667,1.0,1.333,1.0,135.0,2.667,3.0,1.667,1.0,2.0,1.0
like a small number of 500 people and also Korea is a very young nation and,140.0,3.0,3.0,1.667,1.0,1.667,1.0,140.0,3.0,2.667,1.667,1.0,2.333,1.0
as you know that we were put into the industrial revolution,145.0,3.333,3.0,1.667,1.0,1.667,1.0,145.0,2.667,2.667,1.333,1.333,2.0,1.667
very quickly so I think culturally and socially we aren't actually,150.0,3.333,3.0,1.667,1.0,1.667,1.0,150.0,2.667,2.667,1.333,1.333,2.0,1.667
quite ready to be such a,155.0,3.333,3.0,1.667,1.0,1.667,1.0,155.0,2.667,3.0,1.667,1.0,1.667,1.0
big police factor in the glow on the global scale for integration,160.0,3.0,3.0,1.667,1.0,1.667,1.0,160.0,3.0,3.333,2.0,1.0,1.667,1.0
and I think the statistics show this so,165.0,3.333,3.0,1.667,1.0,1.667,1.0,165.0,3.0,3.333,2.0,1.0,1.667,1.0
as you can actually read from the article as well most of the opposing side,170.0,2.667,3.0,1.667,1.0,1.667,1.0,170.0,3.0,3.0,1.333,1.0,1.667,1.0
actually come from the younger generation of Korea even despite the more liberal,175.0,3.0,3.0,1.667,1.0,1.667,1.0,175.0,3.0,3.0,1.333,1.0,1.667,1.0
despite them being the more liberal portion of the population and I think that shows,180.0,3.0,3.0,1.667,1.0,1.667,1.0,180.0,3.0,3.0,1.333,1.0,1.667,1.0
are culturally and socially Korea isn't ready for internationalism,185.0,3.0,3.0,1.667,1.0,1.667,1.0,185.0,3.333,3.0,1.333,1.0,1.667,1.0
there's also the political background of Korea and the roots of xenophobia and homogeneity in Korea where,190.0,3.0,3.0,1.667,1.0,1.667,1.0,190.0,3.333,3.0,1.333,1.0,1.667,1.0
we sort of stick to ourselves and we don't really care for other people they're non-korean so,195.0,3.0,3.0,1.667,1.0,1.667,1.0,195.0,3.0,3.0,1.333,1.0,1.667,1.0
I think in that regard we're not ready in the social and cultural mask,200.0,3.0,3.0,1.667,1.0,1.667,1.0,200.0,3.0,3.0,1.333,1.0,1.667,1.0
well you,205.0,2.667,3.0,1.667,1.0,1.667,1.0,205.0,3.0,3.0,1.333,1.0,1.667,1.0
said they were not really culturally socially first of all social you mentioned how,210.0,3.0,3.0,1.667,1.0,1.667,1.0,210.0,3.0,3.0,1.333,1.0,1.667,1.0
Korea has it's a big eyes development very quickly I would say after Korean War however if,215.0,3.0,3.0,1.667,1.0,1.667,1.0,215.0,3.0,3.0,1.333,1.0,1.667,1.0
you look at Germany for example they also have to war to begin development really quickly it wasn't,220.0,3.0,3.0,1.667,1.0,1.667,1.0,220.0,2.667,3.0,1.333,1.0,1.667,1.0
until even the 80s when the Western and Eastern combined so I'm not sure if that could be technically argued,225.0,3.0,3.0,1.667,1.0,1.333,1.0,225.0,3.0,3.0,1.333,1.0,1.667,1.0
in this case it culturally yes you're right it's a lot of people not really okay,230.0,3.0,3.0,1.667,1.0,1.333,1.0,230.0,3.0,3.0,1.333,1.0,1.667,1.0
with the idea of a lot of other cultures coming in especially as you've mentioned and regeneration but if there,235.0,3.0,3.0,1.667,1.0,1.333,1.0,235.0,3.0,3.0,1.667,1.0,1.667,1.0
was one article that argue that the rather than necessarily xenophobic racist,240.0,3.0,3.0,1.667,1.0,1.333,1.0,240.0,3.0,3.0,1.667,1.0,1.667,1.0
just those factors it could be also due to the fact that a lot of them generation are nervous,245.0,2.667,3.0,1.667,1.0,1.333,1.0,245.0,3.0,2.667,1.667,1.0,1.667,1.0
about the current situation you cannot be situation in Korea what they call yo U as in that,250.0,3.0,3.0,1.667,1.0,1.333,1.0,250.0,3.0,3.0,1.667,1.0,1.667,1.0
they believe that these immigrants will be character jobs will take a lot of welfare,255.0,2.667,3.0,1.667,1.0,1.333,1.0,255.0,3.667,2.667,1.667,1.0,1.667,1.0
that technically belong to the younger generation however what I like to argue is,260.0,3.0,3.0,1.667,1.0,1.333,1.0,260.0,3.667,3.0,1.667,1.0,1.667,1.0
people are usually looking for Laura and jobs which in my opinion is actually complete opposite,265.0,3.0,3.0,1.667,1.0,1.333,1.0,265.0,3.0,3.0,1.667,1.0,1.667,1.0
of what the Millennials or the younger generation are looking for because someone people who graduate from college they're looking for usually,270.0,3.0,3.0,1.667,1.0,1.333,1.0,270.0,3.667,2.667,1.667,1.0,1.667,1.0
high in jobs that pay well that will get them ready for the society for marriage for example,275.0,3.0,3.0,1.667,1.0,1.333,1.0,275.0,3.333,3.0,1.667,1.0,1.667,1.0
and I feel anyone to actually filling the void in which the younger generation are very reluctant to take,280.0,2.667,3.0,1.667,1.0,1.333,1.0,280.0,3.0,2.667,1.667,1.0,1.667,1.0
so I believe that this will actually serve as a good opportunity for them and in order,285.0,3.0,3.0,1.667,1.0,1.333,1.0,285.0,3.333,2.667,1.667,1.0,1.667,1.0
if we educate the people on on the effects and also the not effects,290.0,3.0,3.0,1.667,1.0,1.333,1.0,290.0,3.667,2.667,1.667,1.0,1.667,1.0
that will rise for migration I think it's important to note that,295.0,3.0,3.0,1.667,1.0,1.333,1.0,295.0,3.333,2.667,1.667,1.0,1.667,1.0
the people will be might be more likely to support this system,300.0,3.0,3.0,1.667,1.0,1.333,1.0,300.0,3.333,2.667,1.667,1.0,1.667,1.0
to emphasize that it's not going to create damage but impact and if it does it is possible to,305.0,2.333,3.0,1.667,1.0,1.333,1.0,305.0,3.333,3.0,1.667,1.0,1.667,1.0
be 4 to positive then Warden - I do agree that immigrants,310.0,3.0,3.0,1.667,1.0,1.333,1.0,310.0,3.333,3.0,1.667,1.0,1.667,1.0
do tend to take on lower-end drops then the natives however I think that again shows,315.0,2.667,3.0,1.667,1.0,1.333,1.0,315.0,3.0,3.0,1.667,1.0,1.667,1.0
how not ready we are as a country to let in these refugees,320.0,2.667,3.0,1.667,1.0,1.333,1.0,320.0,3.333,3.0,1.667,1.0,1.667,1.0
despite the fact despite the fact that on the global scale we already have,325.0,2.333,3.0,1.667,1.0,1.333,1.0,325.0,3.0,3.0,1.667,1.0,1.667,1.0
evidence of immigrants taking the raindrops just to get America Europe for this thing what is,330.0,3.0,3.0,1.667,1.0,1.333,1.0,330.0,3.0,3.0,1.667,1.0,1.667,1.0
it you tend to take jobs that the native Stone want and I'm pretty sure,335.0,3.333,3.0,1.667,1.0,1.333,1.0,335.0,3.0,3.0,1.667,1.0,2.0,1.0
a lot of them generation also knows this fact and even then we're still against it,340.0,3.0,3.0,1.667,1.0,1.333,1.0,340.0,3.333,3.0,1.667,1.0,2.0,1.0
and I think the fact that the younger generation is focusing on their own I guess survival,345.0,3.667,3.0,1.667,1.0,1.333,1.0,345.0,3.333,2.667,1.667,1.0,2.333,1.333
than the lives of these people these poor people,350.0,3.333,3.0,1.667,1.0,1.667,1.0,350.0,3.0,3.0,1.667,1.0,2.0,1.0
who are escaping Civil War just goes to show that currently the imagination isn't interested in,355.0,3.333,3.0,1.667,1.0,1.667,1.0,355.0,3.0,3.0,1.667,1.0,2.0,1.0
monitoring efforts and I think we should also be very careful,360.0,3.333,3.0,1.667,1.0,1.667,1.0,360.0,3.0,3.0,1.667,1.0,2.0,1.0
of the political we know that this issue might,365.0,3.0,3.0,1.667,1.0,1.667,1.0,365.0,2.667,3.0,1.667,1.0,2.0,1.0
cause as you can see in America and in Europe the political scene has become,370.0,3.667,3.0,2.0,1.0,1.667,1.0,370.0,2.667,3.0,1.667,1.0,2.0,1.0
very extreme and polarized because of issues such as these and,375.0,3.0,3.0,1.667,1.0,1.667,1.0,375.0,2.333,3.0,1.667,1.0,2.0,1.0
I can't see any way to avoid like,380.0,3.0,3.0,2.0,1.0,1.667,1.0,380.0,2.333,3.0,1.667,1.0,2.0,1.0
a trend towards a political extremism in terms of this issue that,385.0,3.0,3.0,1.667,1.0,1.667,1.0,385.0,2.333,3.0,1.667,1.0,2.0,1.0
as you can see from other countries,390.0,3.333,3.0,2.0,1.0,1.333,1.0,390.0,2.333,2.667,1.667,1.0,2.0,1.0
even,395.0,4.0,3.0,1.667,1.0,1.333,1.0,395.0,2.333,2.667,1.667,1.0,2.0,1.0
people with extremism which is a very valid argument I agree America especially has been facing this,400.0,3.667,3.0,1.667,1.0,1.667,1.0,400.0,2.333,2.667,1.667,1.0,2.0,1.0
problem and Europe with the recent Syrian refugee crisis has been going through this a lot but I think,405.0,3.0,3.0,1.667,1.0,1.667,1.0,405.0,2.333,2.667,1.667,1.0,2.0,1.333
it's also important to mention that I think it is also part of government,410.0,3.667,3.0,2.0,1.0,1.667,1.0,410.0,2.333,2.667,1.667,1.0,2.0,1.333
kind of responsibility to keep the monastery and it's not,415.0,3.0,3.0,2.0,1.0,1.667,1.0,415.0,2.333,2.667,1.667,1.0,2.0,1.333
opposed to in part judgment on things well so it's important for to keep,420.0,3.333,3.0,1.667,1.0,1.667,1.0,420.0,2.333,3.0,1.667,1.0,1.667,1.333
morale and I like not lights,425.0,3.0,3.0,1.667,1.0,1.333,1.0,425.0,3.0,3.0,1.667,1.0,1.667,1.333
up great I think in the country and I think it's also important to remember,430.0,3.0,3.0,1.667,1.0,1.333,1.0,430.0,3.0,3.0,1.667,1.0,1.667,1.333
for Koreans that we ourselves were officials ones just 56 years ago we were,435.0,3.0,3.0,1.667,1.0,1.333,1.0,435.0,3.0,3.0,1.667,1.0,1.667,1.0
in Shanghai forming our own government or instruction he's and understand as politically,440.0,3.0,3.0,1.667,1.0,1.333,1.0,440.0,3.0,3.0,1.667,1.0,1.667,1.0
very sensitive issue but I think that shouldn't discourage us from,445.0,3.0,3.0,1.667,1.0,1.333,1.0,445.0,3.0,3.0,1.667,1.0,1.667,1.0
doing the right thing in my opinion and trying to bring the people,450.0,3.0,3.0,1.667,1.0,1.333,1.0,450.0,3.333,3.0,1.667,1.0,1.667,1.0
around other than just appeal to them briefly for just for political sake first,455.0,3.0,3.0,1.667,1.0,1.333,1.0,455.0,3.667,3.0,1.667,1.0,1.667,1.0
of all I think what's important is corrupting them on on wrong information factually wrong,460.0,3.0,3.0,1.667,1.0,1.333,1.0,460.0,3.0,3.0,1.667,1.0,1.667,1.0
information such as the recent hashtag with the gesture women right Swedish woman,465.0,3.0,3.0,1.667,1.0,1.333,1.0,465.0,3.333,3.0,1.667,1.0,1.667,1.0
which stated that six people were killed which was very baseless there was no no evidence against it so,470.0,3.0,3.0,1.667,1.0,1.333,1.0,470.0,3.667,3.0,1.667,1.0,1.667,1.0
I think a lot of these are backed by stereotypes and wrong information so correcting that I think will fix some of the issues,475.0,3.0,3.0,1.667,1.0,1.333,1.0,475.0,3.667,3.0,1.667,1.0,1.667,1.0
that you've stated you did you mentioned on government's role,480.0,3.0,3.0,1.667,1.0,1.333,1.0,480.0,3.333,3.0,1.667,1.0,1.667,1.0
in I guess correcting this issue but at the same time I think what might be even,485.0,3.0,3.0,1.667,1.0,1.333,1.0,485.0,3.667,2.667,1.667,1.0,1.667,1.0
more important than the cultural and social aspect of this issue is the policy behind the current,490.0,3.0,3.0,1.667,1.0,1.333,1.0,490.0,3.333,3.0,1.667,1.0,1.667,1.0
system that lets in these refugees so if the articles,495.0,3.0,3.0,1.667,1.0,1.333,1.0,495.0,3.333,3.0,1.667,1.0,1.667,1.0
that we read are accurate it does seem that this current system is very inefficient and does have major flaws,500.0,3.0,3.0,1.667,1.0,1.333,1.0,500.0,3.333,3.0,1.667,1.0,1.667,1.0
on the fact that these are histories are allowed to have it for long probation,505.0,3.0,3.0,1.667,1.0,1.333,1.0,505.0,3.333,3.0,1.667,1.0,1.667,1.0
period before this and be able to live in Korea,510.0,3.0,3.0,1.667,1.0,1.333,1.0,510.0,3.333,2.667,1.667,1.0,2.0,1.0
during that long period of time is I guess a whirring factor for many of the people who,515.0,3.0,3.0,1.667,1.0,1.333,1.0,515.0,3.0,2.667,1.667,1.0,2.333,1.0
are worried about safety and other issues that could arise from immigration and at the same time the,520.0,3.0,3.0,1.667,1.0,1.333,1.0,520.0,2.667,3.0,1.667,1.0,2.0,1.0
current acceptance rate that we have in our acquaintance very low it's only around 2%,525.0,3.0,3.333,1.667,1.0,1.333,1.0,525.0,2.667,3.0,1.667,1.0,2.0,1.0
and compared to other countries that has pretty as a pretty low,530.0,3.667,3.333,1.667,1.0,1.333,1.0,530.0,2.667,3.0,1.667,1.0,2.0,1.0
percentage so I think even the government is sort of worried about the backlash that it can,535.0,3.667,3.333,1.667,1.0,1.333,1.0,535.0,3.0,3.333,1.667,1.0,1.667,1.0
face if it accepts more than a certain percentage of refugees so I think,540.0,3.0,3.333,1.667,1.0,1.333,1.0,540.0,3.0,3.0,1.667,1.0,1.667,1.0
I do agree that the government is trying to resolve the I guess,545.0,3.667,3.333,1.667,1.0,1.333,1.0,545.0,3.0,3.0,1.667,1.0,1.667,1.0
negative sentiments horse issue but I think that's more of a preservation tactic of the government's to try to,550.0,3.667,3.333,1.667,1.0,1.667,1.0,550.0,3.0,3.0,1.667,1.0,1.667,1.0
appease the population more than a mature decision,555.0,3.0,3.333,1.667,1.0,1.667,1.0,555.0,2.667,3.0,1.667,1.0,1.667,1.0
towards stronger policy for,560.0,3.667,3.333,1.667,1.0,1.667,1.0,560.0,2.667,3.0,1.667,1.0,1.667,1.0
so on the matter on the matter of taking refugees from Yemen to Jeju Island on the,5.0,2.667,3.333,1.333,1.0,1.333,1.0,5.0,2.0,3.0,1.0,1.0,1.333,1.0
most primary concern is the other one about the economy quite clearly the query,10.0,2.667,3.333,1.333,1.0,1.333,1.0,10.0,2.333,3.0,1.0,1.0,1.333,1.0
creates the economy right now isn't really stable although at the very top,15.0,2.667,3.333,1.333,1.0,1.333,1.0,15.0,2.333,3.0,1.0,1.0,1.333,1.0
of the very wealthy have the variables we have a lot of money but the,20.0,2.667,3.333,1.333,1.0,1.333,1.0,20.0,2.333,3.0,1.0,1.0,1.333,1.0
bottom there are there are a lot of people who doesn't have enough money and they struggle to live out their everyday,25.0,2.667,3.333,1.0,1.0,1.333,1.0,25.0,3.0,2.667,1.0,1.333,1.0,1.0
lives in this in this in this in this chaotic time period in,30.0,2.0,3.333,1.0,1.0,1.333,1.0,30.0,2.0,2.667,1.0,1.333,1.0,1.0
am accepting Yemen universities may actually further,35.0,2.0,3.333,1.0,1.0,1.333,1.0,35.0,2.0,2.667,1.0,1.333,1.0,1.0
kiosk the our government taxes are limited,40.0,2.333,3.333,1.0,1.0,1.667,1.0,40.0,2.667,2.667,1.0,1.333,1.0,1.0
and if we have to give the refugees government's print out of our own taxes,45.0,3.0,3.333,1.0,1.0,1.667,1.0,45.0,2.667,2.667,1.0,1.333,1.0,1.0
then that much that much money has to be taken from,50.0,2.333,3.333,1.0,1.0,1.667,1.0,50.0,2.333,2.667,1.0,1.0,1.0,1.0
somewhere else and I think that that money can be,55.0,3.0,3.333,1.0,1.0,2.0,1.0,55.0,2.333,2.667,1.0,1.0,1.0,1.0
used that money should be first least for our own people first,60.0,2.333,3.333,1.0,1.0,2.0,1.0,60.0,2.0,2.667,1.0,1.0,1.0,1.0
if you are a nice if our country was a stable,65.0,2.667,3.333,1.0,1.0,2.0,1.0,65.0,2.667,2.667,1.0,1.0,1.0,1.0
country and if we had a lot of money that we can spend when,70.0,3.333,3.333,1.0,1.0,2.0,1.0,70.0,2.0,2.667,1.0,1.0,1.0,1.0
sure we should accept refugees but our state our situation isn't very good right now so I think,75.0,2.667,3.333,1.0,1.0,1.667,1.0,75.0,2.0,2.667,1.0,1.0,1.333,1.0
that we need to say we need to stabilize our economy first and then letting the refugees later,80.0,2.333,3.333,1.0,1.0,1.667,1.0,80.0,2.667,2.667,1.0,1.0,1.333,1.0
when when when it's acceptable to do so,85.0,2.333,3.333,1.0,1.0,1.667,1.0,85.0,2.0,2.667,1.0,1.0,1.333,1.0
okay well first of all,90.0,2.333,3.333,1.0,1.0,1.667,1.0,90.0,2.667,2.667,1.0,1.0,1.0,1.0
I'm not really sure what you mean by we have an unstable economy,95.0,2.333,3.333,1.0,1.0,1.667,1.0,95.0,3.0,2.667,1.0,1.0,1.333,1.0
over the chaotic State compared to many other,100.0,2.333,3.0,1.0,1.0,1.667,1.0,100.0,2.667,2.333,1.0,1.0,1.333,1.0
countries I do believe Korea is very,105.0,1.667,3.333,1.333,1.0,1.333,1.0,105.0,2.667,3.0,1.0,1.0,1.333,1.0
stable economy and if you just look at the GDP,110.0,2.333,3.0,1.333,1.0,1.667,1.0,110.0,2.667,2.333,1.0,1.0,1.333,1.0
people over love and beside I don't think this should be the or problem the core,115.0,2.333,3.0,1.333,1.0,1.667,1.0,115.0,2.667,3.0,1.0,1.0,1.333,1.0
of the problem is that there is a crisis happening and,120.0,2.333,3.0,1.333,1.0,1.667,1.0,120.0,2.667,2.333,1.0,1.333,1.333,1.0
we should prioritize human life over any like political or cultural,125.0,2.333,3.0,1.333,1.0,1.667,1.0,125.0,2.667,2.0,1.0,1.667,1.333,1.0
conflicts and you know,130.0,2.333,3.0,1.333,1.0,1.667,1.0,130.0,2.667,2.333,1.0,1.667,1.333,1.0
you say we wait until,135.0,2.0,3.0,1.333,1.0,1.333,1.0,135.0,2.667,2.333,1.0,1.667,1.333,1.0
our economy is stabilized with there's less chaos but the crisis isn't going to wait for us,140.0,2.0,3.0,1.333,1.0,1.333,1.0,140.0,2.667,2.333,1.0,1.667,1.333,1.0
War isn't going to wait for people to be ready,145.0,2.0,3.0,1.333,1.0,1.333,1.0,145.0,2.667,2.667,1.0,1.333,1.667,1.0
to take refugees I think we should really have to see what what what,150.0,2.333,3.0,1.333,1.0,1.667,1.0,150.0,2.667,2.667,1.0,1.333,1.667,1.0
what is the on a human level or is the priority,155.0,2.333,3.333,1.333,1.0,1.333,1.0,155.0,2.667,2.333,1.0,1.0,1.333,1.0
oh,160.0,2.0,3.333,1.333,1.0,1.333,1.0,160.0,2.667,2.667,1.0,1.0,1.333,1.0
yeah that's my favorite,165.0,2.0,3.333,1.333,1.0,1.333,1.0,165.0,2.667,2.667,1.0,1.0,1.333,1.0
he said I have to prioritize over human life but in,170.0,2.0,3.333,1.333,1.0,1.667,1.0,170.0,3.0,2.333,1.0,1.0,1.667,1.0
any said our economy isn't it's a very good economy the GDP is,175.0,2.333,3.0,1.333,1.0,2.0,1.0,175.0,2.667,2.667,1.0,1.0,1.667,1.0
high countries other countries but you have to take into account that the GP,180.0,3.333,3.0,1.333,1.0,2.0,1.0,180.0,2.333,3.333,1.0,1.0,1.333,1.0
is the average amount of income there are because,185.0,2.667,3.0,1.333,1.0,2.0,1.0,185.0,2.333,3.0,1.0,1.0,1.0,1.0
there are people at the very bottom of the society chain that struggle to live,190.0,2.667,3.0,1.0,1.0,2.0,1.0,190.0,2.333,3.0,1.0,1.0,1.0,1.0
out their lives and I'll show you I'm not we shouldn't,195.0,2.667,3.0,1.0,1.0,2.0,1.0,195.0,3.0,2.667,1.0,1.333,1.0,1.0
prioritize what human life but I'm wondering if whether that priority should extend,200.0,3.333,3.0,1.0,1.0,1.667,1.0,200.0,3.0,2.667,1.0,1.333,1.0,1.0
to foreigners first I think that all of there are other,205.0,3.333,3.0,1.0,1.0,1.667,1.0,205.0,2.667,2.667,1.0,1.0,1.0,1.0
countries there are other countries who are able to accept the refugees and,210.0,3.333,3.0,1.0,1.0,1.667,1.0,210.0,2.333,2.667,1.0,1.0,1.0,1.0
their are Koreans who are struggling so we should,215.0,2.667,3.0,1.0,1.0,1.667,1.0,215.0,2.667,2.667,1.0,1.0,1.0,1.0
take care of them first,220.0,3.333,3.0,1.0,1.0,1.667,1.0,220.0,2.333,2.667,1.0,1.0,1.0,1.0
well the thing about the whole texting is that,225.0,3.333,3.0,1.0,1.0,1.667,1.0,225.0,2.333,2.667,1.0,1.0,1.0,1.0
you speak as if we are sacrificing our citizens,230.0,2.667,3.0,1.0,1.0,1.667,1.0,230.0,2.333,2.667,1.0,1.0,1.0,1.0
like money that was already reserved for citizens to,235.0,2.667,3.0,1.0,1.0,1.667,1.0,235.0,2.667,2.667,1.0,1.0,1.333,1.0
the yemeni people but that's just not the case it's,240.0,3.0,3.0,1.0,1.0,1.667,1.0,240.0,3.333,2.667,1.0,1.0,1.333,1.0
as if it's not as if there was money allocated for the pole to pole in Korean,245.0,2.333,2.667,1.0,1.0,1.667,1.0,245.0,3.0,3.0,1.0,1.0,1.667,1.0
and that has been shifted towards the yemeni people I'm,250.0,2.333,2.667,1.0,1.0,1.667,1.0,250.0,3.667,2.667,1.0,1.0,1.333,1.0
sure with enough intent the government would be flexible enough to allocate,255.0,2.667,2.667,1.0,1.0,1.667,1.0,255.0,3.0,2.667,1.0,1.0,1.333,1.0
enough money for both problems may be called from something that,260.0,2.667,2.667,1.0,1.0,1.667,1.0,260.0,3.667,2.667,1.0,1.0,1.333,1.0
is not really,265.0,2.0,2.667,1.0,1.0,1.667,1.0,265.0,3.667,3.0,1.0,1.0,1.333,1.0
it's not be so direct to people's lives,270.0,2.0,2.667,1.0,1.0,1.333,1.0,270.0,3.667,2.667,1.0,1.0,1.333,1.0
for example you know with any government,275.0,1.667,2.667,1.0,1.0,1.333,1.0,275.0,3.667,3.0,1.0,1.0,1.333,1.0
any government that's that's involved in some kind of,280.0,1.667,2.667,1.0,1.333,1.333,1.0,280.0,3.667,3.0,1.0,1.0,1.333,1.0
international conflict especially especially Innovative,285.0,1.667,2.667,1.0,1.333,1.333,1.0,285.0,3.0,2.667,1.0,1.0,1.333,1.0
Korean warm move to the taxes actually go to the military,290.0,1.667,2.667,1.0,1.333,1.333,1.0,290.0,3.333,3.0,1.0,1.0,1.333,1.0
and the proportions are amazing how,295.0,1.667,2.667,1.0,1.0,1.333,1.0,295.0,3.333,3.0,1.0,1.0,1.333,1.0
how much actually goes into the tree and how little goes into public service,300.0,1.667,2.667,1.0,1.0,1.333,1.0,300.0,3.333,3.0,1.0,1.333,1.333,1.0
and I just don't think that that's the first thing that we should focus on it's,305.0,1.667,2.667,1.0,1.0,1.333,1.0,305.0,3.0,3.0,1.0,1.333,1.333,1.0
not a weighing scale between all the cool people Korean,310.0,1.667,2.667,1.0,1.0,1.333,1.0,310.0,3.0,3.0,1.333,1.333,1.333,1.0
and the yemeni people,315.0,1.667,2.667,1.0,1.0,1.333,1.0,315.0,2.667,3.0,1.333,1.333,1.333,1.0
you talked about the,320.0,1.667,2.667,1.0,1.0,1.333,1.0,320.0,3.0,3.0,1.333,1.333,1.333,1.0
money you talk about life we can reject the money that goes into the military and we start,325.0,1.667,2.667,1.0,1.0,1.667,1.0,325.0,2.667,3.0,1.0,1.333,1.0,1.0
to take care of the yemeni citizen strength but,330.0,2.0,2.667,1.0,1.0,1.667,1.0,330.0,2.667,3.333,1.0,1.333,1.0,1.0
that's quite it's not asking for that we all,335.0,2.0,2.667,1.0,1.0,1.333,1.0,335.0,3.0,3.333,1.0,1.0,1.0,1.0
those amazing peaceful we are in a crisis of world and I was going to Korea and there,340.0,2.333,2.667,1.0,1.0,1.333,1.0,340.0,2.667,3.333,1.0,1.0,1.0,1.0
are political factions including the tug of Americans that encourages,345.0,2.333,2.667,1.0,1.0,1.667,1.0,345.0,2.667,3.0,1.0,1.0,1.333,1.0
and force us to and extraneous amount of money towards the military,350.0,2.667,3.0,1.0,1.0,1.667,1.0,350.0,2.0,3.0,1.0,1.0,1.0,1.0
for their own safety and for our own safety as well so,355.0,2.667,3.0,1.0,1.0,1.333,1.0,355.0,2.0,3.0,1.0,1.0,1.0,1.0
sure it's a good idea is if he just if,360.0,2.667,3.0,1.0,1.0,1.333,1.0,360.0,2.0,3.0,1.0,1.0,1.0,1.0
he stopped the war and reject money III read that money to the yemeni citizens,365.0,3.0,3.333,1.333,1.0,1.333,1.0,365.0,2.0,3.0,1.0,1.0,1.0,1.0
but if that doesn't but that's not that's quite realistically,370.0,3.0,3.333,1.333,1.0,1.333,1.0,370.0,2.0,3.0,1.0,1.0,1.0,1.0
man there are forces that we have to contend with and,375.0,3.0,3.333,1.333,1.0,1.333,1.0,375.0,2.0,3.0,1.0,1.0,1.0,1.0
they may not allow us to make that decision so easily,380.0,3.0,3.333,1.333,1.0,1.333,1.0,380.0,2.667,2.667,1.0,1.0,1.333,1.0
so what I'm seeing is that like taking Indian citizens is great,385.0,3.0,3.333,1.333,1.0,1.333,1.0,385.0,2.0,3.0,1.0,1.0,1.0,1.0
but only if the situation with situation allows self I mean I think that,390.0,2.667,3.0,1.333,1.0,1.667,1.0,390.0,2.0,2.667,1.0,1.0,1.0,1.0
our society can take care of that right now,395.0,2.667,3.0,1.333,1.0,1.667,1.0,395.0,2.0,3.0,1.0,1.0,1.0,1.0
I,400.0,2.667,3.0,1.333,1.0,1.333,1.0,400.0,2.0,2.667,1.0,1.0,1.0,1.0
mean,405.0,2.667,3.0,1.333,1.0,1.333,1.0,405.0,2.0,2.667,1.0,1.0,1.0,1.0
I guess we can go about,410.0,2.667,3.0,1.333,1.0,1.333,1.0,410.0,2.0,2.667,1.0,1.0,1.0,1.0
the whole allocation of money thinking much more detailed my,415.0,2.667,3.0,1.333,1.0,1.333,1.0,415.0,2.0,2.667,1.0,1.0,1.0,1.0
main point is that,420.0,2.667,3.0,1.333,1.0,1.333,1.0,420.0,2.333,2.333,1.0,1.0,1.333,1.0
the first thing that we think you know taken away so to speak the from,425.0,2.667,3.0,1.333,1.0,1.333,1.0,425.0,2.333,2.0,1.0,1.0,1.667,1.0
the tax money shouldn't be Department of Public Service,430.0,2.0,3.0,1.333,1.0,1.333,1.0,430.0,2.667,2.333,1.0,1.0,1.333,1.0
it's not as if,435.0,2.0,3.0,1.333,1.0,1.333,1.0,435.0,2.667,2.667,1.0,1.0,2.0,1.0
this is a my point still stands that it's not as the money,440.0,2.333,3.0,1.0,1.0,1.667,1.0,440.0,2.667,2.667,1.0,1.0,2.0,1.0
going into the amnesty of these yemeni people is,445.0,2.333,3.0,1.0,1.0,1.667,1.0,445.0,2.667,2.667,1.0,1.0,1.667,1.0
is directed straight from the public service cut,450.0,2.0,3.0,1.0,1.0,1.333,1.0,450.0,2.667,2.667,1.0,1.0,2.0,1.0
I,455.0,2.0,3.0,1.0,1.0,1.333,1.0,455.0,2.667,2.667,1.0,1.0,1.667,1.0
really do not know what the topic is,460.0,2.0,3.0,1.0,1.0,1.333,1.0,460.0,2.667,2.667,1.0,1.0,1.667,1.0
but I would still,465.0,1.667,3.0,1.0,1.0,1.333,1.0,465.0,2.667,2.667,1.0,1.0,2.0,1.0
like to say like sick,470.0,2.333,3.0,1.0,1.0,1.333,1.0,470.0,2.667,2.667,1.0,1.0,2.0,1.0
at least at least we should really focus on,475.0,2.333,3.0,1.0,1.0,1.333,1.0,475.0,2.667,2.667,1.0,1.0,1.667,1.0
if there are other countries that is,480.0,2.333,3.0,1.0,1.0,1.667,1.0,480.0,2.667,2.667,1.0,1.0,1.667,1.0
your daily people could realistically go to Ocean First consider the wires it is happening,485.0,2.333,3.0,1.0,1.0,1.333,1.0,485.0,3.0,2.667,1.0,1.0,2.0,1.0
already and the second point is,490.0,1.667,3.0,1.0,1.0,1.667,1.0,490.0,3.0,3.0,1.0,1.0,1.667,1.0
I think people are focusing way too much on what to have these people inside,495.0,2.0,3.0,1.333,1.0,1.667,1.0,495.0,3.333,3.333,1.333,1.0,1.333,1.0
the country or not rather than you know how to solve this crisis not know how to solve this question about what you know what we can,500.0,3.0,4.333,1.0,1.0,1.0,1.0,500.0,3.333,3.333,1.0,1.0,1.333,1.0
do to help this crisis and we had to we should really think about what if people,505.0,1.667,3.0,1.0,1.0,1.333,1.0,505.0,2.667,3.0,1.0,1.0,1.333,1.0
