new_words,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
how should they do and how should they can practice,-0.07,-0.992,-0.708,-0.869,2.16,1.284,-0.662,-0.207,-1.461,-0.984,-1.254,-1.201,1.456,0.727,-0.226,-0.669,4,3,1,1,1,1,3,3,1,1,2,1
he said I have to prioritize over human life but in,-1.558,-1.216,-1.314,-1.26,0.777,0.355,-0.091,-1.679,-1.669,-1.489,-1.54,-1.432,-0.808,-1.038,-2.634,-1.976,2,3,1,1,2,1,3,2,1,1,2,1
even with Korean people do they actually you guys actually was able to develop into,-1.437,-1.008,-1.292,-1.253,0.003,0.779,0.066,-1.179,0.821,3.171,0.878,0.278,8.852,4.31,0.852,0.891,3,2,1,2,2,1,3,3,1,2,1,1
human health policy that insures these people,-1.586,-1.554,-1.485,-1.438,-0.024,-0.79,-2.815,-1.883,-1.364,-1.231,-1.345,-1.152,0.162,-0.371,-2.209,-1.551,3,3,2,1,2,1,3,3,2,1,1,1
who have the nationality and will have citizenship of the country already,0.575,-0.612,0.128,0.022,8.883,5.975,-0.773,-0.143,-0.997,-1.54,-1.361,-1.08,-0.706,-0.733,-2.093,-1.501,3,3,1,1,2,1,3,3,1,1,1,1
this is a my point still stands that it's not as the money,-1.234,1.078,-0.182,-0.254,4.211,5.338,-0.158,-0.287,-1.48,-1.536,-1.478,-1.329,-0.57,-0.567,-0.168,-1.689,2,3,1,1,2,1,3,3,1,1,2,1
if you get to know those stuff then would have people be more likely,-1.626,-1.448,-1.606,-1.394,-1.059,-1.176,-1.879,-1.815,-0.834,-1.007,-0.779,-1.092,0.149,-0.414,1.523,-0.829,3,3,1,1,1,1,4,3,1,1,1,1
number of refugees that we took in people have signed a petition,-1.438,-1.202,-1.218,-1.184,0.119,0.345,0.776,-1.701,-1.691,-1.587,-1.605,-1.399,-1.046,-1.266,-2.836,-1.919,3,3,2,1,1,1,3,3,2,1,2,1
because Filipinos a Muslim that came from Malaysia,-1.595,-1.372,-1.455,-1.386,-0.9,-1.157,-2.962,-2.049,-1.593,-1.563,-0.518,-1.292,-0.434,-0.761,-2.987,-2.013,3,3,1,1,2,1,2,3,2,1,2,1
of the Korean citizens like there's a killing,-1.36,-0.886,-1.351,-1.224,1.18,0.746,-0.588,-1.481,-1.478,-1.107,-1.44,-1.324,-0.195,-0.138,-1.318,-1.417,3,3,2,2,2,1,3,3,2,1,1,2
they have nowhere to go and Korea is a developed Nation also part of the United Nations,-1.609,-1.429,-1.363,-1.251,1.051,-0.298,-0.805,0.066,-1.643,-1.566,-1.584,-1.433,-1.004,-1.173,-2.811,-1.93,3,3,1,1,1,1,2,3,1,1,1,1
current people such as this idea of youth unemployment yeah,-1.246,-1.146,-1.429,-1.308,0.102,-0.27,-0.265,-1.242,-1.533,-1.396,-1.503,-1.257,-0.659,-0.658,-3.022,-1.967,2,3,1,1,1,1,2,3,1,1,1,1
refugees need to bring in their own proof that they are legitimate people,-1.176,-1.192,-1.411,-1.338,-0.316,-0.751,-0.853,-1.739,-1.433,-1.372,-1.482,-1.273,-0.791,-0.786,-1.586,-1.624,2,3,2,1,1,1,3,3,2,1,2,1
like man and woman should be treated equally and so with,-1.239,-1.027,-1.375,-1.072,-0.562,-0.885,-0.959,-1.366,-1.276,-1.0,-1.121,-1.323,1.571,0.128,-0.726,-1.694,3,3,1,1,1,1,4,3,1,1,1,1
children and I'm not that wealthy and some of the children are getting enough food and,-0.518,-0.736,-0.223,-1.027,1.146,0.818,0.326,-1.23,-0.637,-0.677,-0.41,-1.013,4.459,4.137,0.0,-1.408,2,3,2,1,2,1,3,3,2,1,2,1
internally then they are all the terrorist act we had except,-1.639,-1.35,-1.352,-1.261,0.856,0.001,-2.545,-1.458,-1.305,-0.691,-1.254,-1.221,0.436,-0.272,-1.489,-1.191,3,4,2,2,2,1,3,2,1,1,2,1
that they will do something they will commit a crime in Korea but,-1.32,-1.372,-1.341,-0.996,0.351,0.264,-1.184,-1.384,-1.533,-1.425,-1.542,-1.374,-1.047,-1.169,-1.408,-1.935,2,2,2,2,1,1,3,2,1,1,3,2
and the problem is that we cannot,-1.402,-0.736,-1.135,-1.074,0.584,0.187,-1.005,-1.646,-1.697,-1.562,-1.261,-1.414,-0.571,-1.011,-2.538,-1.969,3,3,1,1,1,1,4,3,2,1,3,1
of the problem is that there is a crisis happening and,-1.027,0.26,-0.597,-0.398,3.001,2.069,-0.825,-1.072,-1.366,-0.962,-1.235,-1.109,-0.165,-0.572,-0.239,-1.035,2,3,1,1,2,1,3,2,1,1,1,1
money if that's something that comes from the text and it's hard to ensure these people,-1.63,-1.595,-1.518,-1.421,-0.649,-0.815,-2.69,-2.043,-1.122,-1.258,-1.101,-1.102,0.384,0.577,-2.586,-1.665,3,3,1,2,1,1,3,3,2,1,2,1
when upon accepting these refugees,-0.935,-1.187,-1.326,-1.138,0.291,0.427,-0.159,-1.517,-1.232,-1.026,-1.383,-1.231,-0.671,-0.832,-0.994,-1.551,3,2,2,1,1,1,3,3,2,1,2,1
for example Isis,-0.826,-0.382,-1.043,-1.004,2.441,0.699,0.155,-0.398,-1.604,-0.739,-1.452,-1.296,0.013,0.353,-1.537,-1.649,3,3,2,2,2,1,3,3,2,2,2,1
last year to 519 seeking Asylum this year would the numbers of almost,-1.218,-0.944,-1.229,-1.338,-0.631,-0.759,-2.744,-2.025,-0.934,-0.755,-1.174,-1.134,0.636,0.722,-0.872,-1.298,2,2,1,2,2,1,3,4,2,1,1,1
humanitarian Aid however,-1.23,-0.919,-1.363,-1.157,0.024,-0.088,-1.465,-1.531,-1.116,-1.052,-0.859,-1.177,0.923,1.304,-0.069,-0.733,3,3,1,1,1,1,3,3,1,1,2,1
/ it we're harvesting for harvesting we cannot Harvest from Quorum for people that live in slums,-1.703,-1.623,-1.533,-1.462,-0.695,-0.795,-0.776,-1.981,3.016,2.665,1.286,1.42,11.033,10.005,0.038,-0.509,2,2,1,1,2,1,3,3,1,1,1,1
think that we have to accept more I mean at least in this case you have to,-0.538,1.131,-0.133,-0.685,0.304,0.066,0.873,0.261,-0.483,-0.762,-0.229,-0.789,0.356,0.231,0.364,-1.406,3,3,1,1,2,1,3,3,1,1,1,1
their customers so they're actually increase resource pie with Korea,-1.098,-1.347,-1.405,-1.188,-0.673,-0.982,-1.676,-1.404,-1.528,-1.322,-1.486,-1.323,-0.239,-0.714,-2.639,-1.542,3,4,2,2,1,1,3,3,1,1,1,1
limited to Jeju Island the Muslim people well actually there was a news report by Korean news agency,-0.933,-1.225,-1.358,-1.176,0.536,0.049,0.535,-1.243,-1.561,-1.371,-1.428,-1.301,-0.434,-0.531,-2.551,-1.794,3,4,1,1,1,1,3,3,1,1,2,1
okay so my think about that is that they're not,-0.343,-0.676,-0.884,-0.676,3.453,2.581,1.298,0.827,-1.221,-1.268,-1.292,-1.208,0.386,-0.167,-2.503,-1.625,3,4,1,1,1,1,3,3,1,1,2,1
who's not Christian they still don't know it's just for her alligator,-1.351,-0.254,-0.993,-0.913,2.537,-0.024,-1.811,-0.798,-0.915,-1.323,-0.907,-1.214,2.517,0.855,-1.586,-1.513,2,3,2,1,2,1,2,3,2,1,1,1
to create keeps up with this promise and that is becoming more,-0.844,-1.253,-1.213,-1.173,0.314,-0.229,-0.818,-1.375,-1.596,-1.559,-1.422,-1.351,-0.492,-0.927,-1.808,-1.891,3,3,2,1,2,1,3,3,2,1,2,1
from different cultures and all that so I'm not and also I read in the news article,-1.648,-1.591,-1.528,-1.405,-0.634,-1.087,-2.802,-2.075,-1.47,-1.37,-1.561,-1.249,-0.478,-0.958,-0.796,-1.633,3,3,2,2,2,1,3,3,1,1,1,2
and in terms of humanitarian Aid I believe that I agree with,-1.498,-1.288,-1.483,-1.317,-0.136,-0.152,0.087,-1.336,-1.124,-1.048,-1.208,-1.236,1.675,2.327,-0.352,-1.129,3,3,1,1,1,1,3,3,1,1,2,1
right,0.243,2.527,1.553,1.153,-0.265,-0.21,-0.452,1.021,-1.021,-0.506,-1.158,-1.254,-0.135,-0.407,-0.177,-1.742,3,3,1,1,2,1,3,3,1,1,1,1
the people will be might be more likely to support this system,-0.68,-0.513,-0.834,-0.621,1.737,1.036,0.826,-1.056,-1.565,-1.547,-1.567,-1.395,-0.699,-0.999,-2.891,-2.055,3,3,2,1,1,1,3,3,2,1,2,1
and and also use that and also you start that,-1.368,-0.937,-1.392,-1.077,0.697,0.346,-1.712,-1.232,-1.506,-1.581,-1.394,-1.28,-0.532,-0.724,-2.094,-1.73,2,3,1,1,1,1,3,2,1,1,3,1
Korea should try to focus more on the citizens I definitely,-0.228,-0.5,-0.549,-0.516,3.829,3.361,0.186,-0.832,-1.219,-1.446,-1.514,-1.374,-0.551,-0.737,-3.027,-1.99,3,3,1,1,1,1,4,3,1,1,1,1
is these people are looking for cheaper or they are looking for these simple laborers,-1.7,-1.617,-1.576,-1.376,-0.753,-1.008,-2.908,-2.065,-1.326,-1.122,-1.355,-1.215,0.773,-0.358,-1.832,-0.983,3,4,1,1,1,1,3,3,1,1,1,1
gain some in order to gain some status as a developed country,-0.77,-0.827,-0.838,-1.045,0.503,0.406,0.463,-1.451,-1.292,-0.036,-0.673,-1.175,1.396,1.567,-0.66,-0.359,3,3,1,1,2,1,4,3,1,1,2,1
a property of man I think but when a man is speed refuges,-1.53,-1.318,-1.453,-1.302,-0.816,-1.144,-2.63,-1.875,-0.885,-0.896,-1.003,-1.099,1.978,2.449,1.127,-0.843,3,3,1,1,1,1,3,3,1,1,1,1
and if we have to give the refugees government's print out of our own taxes,-1.155,-1.334,-1.029,-1.34,0.784,0.396,0.275,-1.357,-1.676,-1.561,-1.558,-1.325,-0.614,-1.041,-1.946,-1.754,3,3,1,1,2,1,3,3,1,1,1,1
for their own safety and for our own safety as well so,-0.794,-0.831,-0.486,-0.826,2.279,2.232,0.693,-0.459,-1.415,-1.209,-1.511,-1.317,-0.702,-0.775,-1.069,-1.215,3,3,1,1,1,1,2,3,1,1,1,1
it is our promise to the international Society at that we are going to accept the refugees,-0.749,-0.637,-0.524,-0.922,-0.095,0.315,0.629,-0.988,-0.11,0.142,0.171,0.744,3.368,3.494,1.095,1.635,3,3,1,1,2,1,3,3,1,1,1,1
inside of Jeju Island to poor refugees not ready now the topper images,-1.389,-1.105,-1.365,-1.338,0.683,-0.07,-1.421,-1.687,1.019,1.064,0.111,0.092,5.319,3.49,-0.164,1.164,4,3,1,2,2,1,3,3,1,2,2,1
affect how people view that restaurant if they,-1.069,-1.49,-1.212,-1.162,0.436,-0.089,-0.487,-1.462,-0.426,-0.769,0.16,-0.447,2.292,1.284,-1.284,-1.395,2,3,1,1,2,1,3,4,1,2,1,1
look,-1.3,-1.273,-1.343,-1.148,0.627,0.086,-0.773,-1.745,-1.677,-1.366,-1.146,-1.36,-0.977,-0.916,-2.441,-1.956,3,3,2,1,1,1,2,3,2,1,2,1
do to help this crisis and we had to we should really think about what if people,-1.265,-1.353,-0.997,-1.207,1.783,1.568,-0.238,-1.185,-1.565,-1.418,-1.403,-1.415,-0.65,-0.838,-1.57,-1.744,2,3,1,1,1,1,3,3,1,1,1,1
couldn't really understand this referring to Chinese and Japanese so like,-1.595,-1.528,-1.479,-1.317,-0.523,-1.083,-1.634,-1.863,-1.101,-1.298,-1.27,-1.175,0.117,0.367,-0.559,-0.765,3,4,1,1,1,1,3,3,1,1,1,1
population was not aware,0.49,1.705,-0.283,-0.697,0.197,1.434,-0.124,-0.529,-0.98,-0.837,-0.689,-0.874,0.747,0.627,-0.315,-1.05,3,3,1,1,1,1,3,3,1,1,2,1
some time to pray during the day and they don't really,-0.583,-0.44,-1.237,-1.115,1.849,0.146,0.564,-0.613,-1.332,-0.909,-1.273,-1.219,0.162,-0.826,-1.569,-1.364,2,3,1,1,1,1,3,2,1,1,2,1
young people can feel the other risk,-0.64,-1.032,-0.732,-0.902,1.054,1.094,-1.55,-1.229,-1.322,-0.819,-1.221,-1.227,0.751,-0.847,-1.282,-1.072,3,3,1,1,1,1,4,3,2,1,3,1
that coming to accept escaping from North Korea to South Korea but why can't,-1.179,-1.047,-1.36,-1.266,0.858,-0.207,1.014,-1.398,-1.144,-1.029,-1.336,-0.778,-0.006,-0.107,0.076,-0.938,3,3,2,1,2,1,3,3,2,1,1,1
to accept it,0.46,2.481,3.927,0.705,2.114,1.92,0.735,3.051,-0.341,-0.703,-0.728,-0.672,1.707,1.063,-1.693,-0.567,3,3,2,1,1,1,3,3,1,1,2,1
comment yeah so I think I,-1.584,-1.128,-1.569,-1.392,-0.695,-0.854,-1.163,-1.926,-1.179,-1.479,-1.166,-1.159,1.776,0.47,-0.712,-0.751,3,3,2,1,2,1,3,3,2,1,1,1
million refugees already and they are causing social and economic,-1.379,-0.856,-1.48,-1.392,-0.242,-0.582,-1.568,-1.633,-1.103,-1.098,-1.258,-1.199,-0.518,-0.736,-0.503,-0.646,3,3,2,1,1,1,3,3,2,1,2,1
Refugee status legally and lawfully in South Korea,-1.113,-0.658,-0.26,-0.522,-0.414,-0.54,-0.847,-1.24,-0.78,-0.873,-0.206,1.216,0.862,0.135,-1.177,-1.332,3,3,1,1,1,1,3,3,1,1,2,1
even for kids they have to provide Public Health Care and education so,-1.228,-0.606,-1.229,-1.207,0.642,0.296,-0.661,-0.676,-1.587,-1.465,-1.465,-1.36,-0.543,-0.234,-1.984,-1.825,2,2,1,1,1,1,2,4,1,1,1,1
the fact that Korea is a developed country and the members of you and community members of United,-1.148,-1.044,-1.241,-0.903,-0.31,-0.894,-1.089,-0.917,-0.587,0.55,-1.063,-0.994,0.861,0.259,0.128,-0.155,3,3,1,1,2,1,2,3,1,1,2,1
the time I'll start okay so I'm against,-1.474,-1.309,-1.47,-1.267,0.943,-0.375,-1.931,-1.539,-1.597,-1.546,-1.425,-1.359,-0.633,-0.289,-2.704,-1.974,3,3,2,1,2,1,3,3,2,1,2,1
significantly like butter the performer just apply,-1.408,-1.231,-1.34,-1.336,0.129,-0.488,-0.829,-1.822,-1.01,-1.084,-1.347,-1.263,1.667,-0.265,0.072,-1.305,3,3,2,1,2,1,3,3,2,1,1,1
in Jeju Island and yeah,-1.467,-1.192,-1.536,-1.303,-0.598,-0.656,-2.036,-1.732,-1.353,-1.033,-1.126,-1.011,1.319,1.113,-1.394,-0.965,3,3,1,1,1,1,4,3,1,1,1,1
apply and subside a I think,-1.559,-1.39,-1.47,-1.389,0.043,-0.516,-0.836,-1.586,-1.577,-1.481,-1.449,-1.319,-0.541,-0.626,-2.777,-1.778,3,3,2,1,2,1,3,3,2,1,1,1
economy The Divided one is stopped and if,-1.261,-1.248,-1.293,-1.142,0.476,-0.475,0.03,-1.206,-1.184,-1.093,-1.079,-1.123,0.168,-0.156,-1.235,-1.298,4,3,1,1,2,1,3,2,1,1,2,1
what has happened throughout history for someone in you know in the u.s.,-1.311,-1.16,-1.402,-1.283,-0.264,-0.573,-2.295,-1.734,-1.154,-1.251,-1.427,-1.275,-0.551,-0.592,1.914,-1.062,3,3,2,1,1,1,2,4,2,1,2,1
552 that came to Jeju,-1.652,-1.517,-1.507,-1.407,-0.062,-1.056,-2.572,-1.973,-1.273,-0.868,-1.252,-1.267,-0.03,0.275,-2.17,-1.507,3,3,2,1,2,1,3,3,2,1,2,1
they are potential some of them are potential terrorists,-1.516,-0.924,-1.383,-1.27,0.462,-0.003,-1.11,-1.695,-0.894,-0.342,-0.59,-1.152,2.328,-0.373,-1.313,-0.862,4,3,1,1,2,1,3,3,1,1,1,1
citizens of to the Blue House of Korean and,-1.357,-1.248,-1.117,-1.192,-0.726,-0.674,-0.844,-1.49,-1.589,-1.488,-1.393,-1.343,-0.424,-0.522,-1.029,-1.519,3,4,1,1,2,1,4,4,2,1,1,1
resources to actually build cam or actually have a proper way for,-1.516,-1.38,-1.121,-1.213,0.875,1.376,-0.497,-1.406,1.278,5.865,4.075,0.709,7.255,10.501,0.646,0.259,3,2,1,1,2,1,3,3,1,1,2,1
a choice but so does Korea Korea it's not ready,-0.737,-0.119,0.266,-0.629,2.218,1.261,2.14,-0.566,-1.571,-1.616,-1.538,-1.362,-0.855,-1.17,-2.34,-1.971,3,3,1,1,1,1,3,3,1,1,2,1
most have some responsibilities,-1.467,-1.338,-1.268,-1.265,-0.056,-0.707,-1.253,-1.205,-1.323,-1.114,-1.391,-1.287,-0.391,-0.743,-2.383,-1.777,3,4,1,1,1,1,3,3,1,1,1,1
from their own country abandoning their families and that's because they're the only strong people who,-1.185,-1.277,-1.193,-1.243,-0.214,-0.06,-0.98,-1.635,-1.513,-1.46,-1.032,-1.367,-0.677,-1.013,-2.055,-1.863,3,3,1,1,2,1,2,3,2,1,2,1
in Shanghai forming our own government or instruction he's and understand as politically,-1.227,-0.862,-1.036,-0.974,1.489,1.135,0.145,-0.615,-1.65,-1.55,-1.53,-1.391,-0.267,-0.889,-2.663,-1.919,3,3,2,1,1,1,3,3,2,1,2,1
into the country to seek shelter although since they made the,-1.498,-1.527,-1.498,-1.229,-0.42,-0.408,-1.724,-1.64,-1.284,-1.154,-0.909,-1.187,1.395,1.695,-0.102,-1.167,3,3,1,1,1,1,3,3,1,1,2,1
in my opinion regarding recording the Jeju Island,-1.288,-1.224,-1.235,-1.237,-0.265,-0.215,-0.913,-1.393,-1.383,-1.192,-1.19,-1.198,1.146,0.302,-1.799,-1.308,4,3,1,2,3,1,3,3,1,1,1,1
actually the refugee you mean that how to garden theater yeah the big question or Korean actually rigidity under the laws of the Korean,-1.68,-1.565,-1.599,-1.438,-0.943,-1.123,-2.496,-1.988,-1.39,-1.09,-1.222,-1.23,0.586,0.24,-0.462,-1.571,4,3,1,1,1,1,3,4,1,1,2,1
if they're coming for a tourist purpose they're actually being Spenders,-1.55,-1.523,-1.434,-1.342,-0.402,-0.427,-2.699,-1.964,-1.473,-1.395,-1.353,-1.302,0.145,-0.699,-0.038,-1.537,3,3,2,1,2,1,3,3,1,1,1,1
is still poor people in Britain but the government,-0.707,0.025,-0.524,-0.777,1.557,1.789,0.132,-0.307,-1.135,-1.024,-1.097,-1.215,0.517,0.636,-1.962,-0.956,2,3,2,1,1,1,3,3,2,1,1,1
of Ingress Ingress right so it's like I think,-1.165,-1.189,-1.209,-1.126,1.848,1.868,-0.169,0.41,-1.042,-1.028,-0.512,-0.575,2.959,2.732,1.843,-0.875,3,3,3,1,2,1,3,4,3,1,2,1
yemenis gratuities at Jeju Island yeah but,-0.69,-0.017,-1.012,-0.916,3.051,2.624,1.351,-0.317,-1.396,-1.135,-1.382,-1.264,-0.528,-0.74,-2.372,-1.616,3,3,1,1,2,1,3,3,1,1,2,1
it's not good for Korea I'm like that,-1.126,-1.386,-1.246,-1.24,0.202,-0.198,-2.017,-1.471,-1.375,-1.35,-1.347,-1.287,-0.657,-0.698,-0.012,-1.624,3,3,2,1,2,1,3,3,2,1,2,1
accepting the refugee at comparing to u.s. u.s. actually they welcome the refugee as one of the wave,-1.313,-1.175,-1.38,-1.355,-0.57,-0.943,-2.54,-1.626,1.1,2.727,1.022,0.168,3.777,4.201,-0.644,-0.152,4,3,1,1,3,1,3,2,1,1,2,1
taking refuses can occur the like like a,-1.572,-1.626,-1.558,-1.436,-0.979,-1.225,-2.436,-1.94,-0.389,-0.192,0.353,-0.706,3.001,6.011,-0.386,-0.545,4,2,1,1,2,1,3,3,1,1,2,1
in the future and talking about Korean people actually do you the Yemen if Yugi,-1.248,-1.16,-1.259,-1.231,0.436,-0.376,-1.541,-1.696,-0.492,0.534,0.462,-0.248,3.65,1.192,-1.84,-1.319,2,2,1,1,3,1,3,3,1,2,1,1
can do like rather than work,-1.047,-0.763,-1.128,-1.19,0.804,0.559,-0.005,-1.086,-1.591,-1.509,-1.526,-1.342,-0.524,-0.959,-2.79,-1.913,3,3,2,1,2,1,3,3,2,2,2,2
and,-0.579,1.437,0.507,1.154,12.748,15.116,-0.885,1.057,-1.161,-0.663,-0.954,-1.244,1.091,1.388,-1.625,-0.875,2,3,2,1,2,1,2,3,2,1,2,1
the news that turkey has receiving the refugees except for Syria,-1.248,-0.885,-1.295,-1.231,-0.371,-0.599,-1.454,-1.575,0.481,2.893,2.081,2.018,6.794,5.378,-0.442,0.852,4,2,1,1,3,1,3,2,1,1,2,1
at least at least we should really focus on,-1.473,-1.285,-1.472,-1.286,-0.242,-0.285,-0.947,-1.48,-1.232,-1.369,-1.39,-1.276,0.483,-0.064,0.553,-1.341,2,3,1,1,1,1,3,3,1,1,2,1
like South Korea is becoming one of the Multicultural country and there are a lot of,-1.462,-0.999,-1.421,-1.336,-0.652,-1.037,-2.414,-1.517,2.035,0.586,-0.596,0.037,6.901,4.534,0.625,-0.897,3,3,1,1,1,1,3,3,2,1,3,1
of the United Nations has signed at the convention so they also have the international obligation,-1.645,-1.587,-1.612,-1.452,-1.078,-1.293,-2.849,-2.043,-1.265,-0.996,-1.329,-1.231,-0.512,-0.035,-0.13,-1.344,3,3,1,1,2,1,3,3,1,1,1,1
than the lives of these people these poor people,-1.287,-1.18,-1.184,-1.197,0.21,0.172,0.126,-0.408,-1.435,-1.062,-1.516,-1.299,-0.914,-1.08,-1.903,-1.671,3,3,2,1,2,1,3,3,2,1,2,1
I think they're already a lot of foreigners and Koreans I think it's normal,-1.407,-1.051,-1.436,-1.303,-0.209,-0.342,-0.827,-1.455,-1.351,-1.304,-0.878,-0.961,0.141,-0.398,-0.623,-1.472,3,3,2,1,2,1,3,3,2,2,2,2
culturally they keep a lot of ground rules but those people extremists,-1.549,-1.396,-1.556,-1.348,-0.755,-1.005,-2.793,-1.609,-1.115,-1.17,-1.164,-1.151,1.863,1.191,-0.639,-1.285,2,4,2,2,2,1,3,3,2,1,1,1
against these refugees or in general against work for foreigners coming in,-0.012,-0.008,-0.365,1.516,0.731,0.456,0.746,1.118,-0.744,-1.247,-1.139,-1.164,0.006,-0.477,-0.678,-1.525,2,3,2,1,1,1,3,3,1,1,1,1
I think in that regard we're not ready in the social and cultural mask,-1.106,-0.047,-1.121,-0.838,0.143,1.272,-0.929,-1.525,-1.429,-0.677,-1.349,-1.26,-0.383,-0.369,-1.572,-1.561,3,3,2,1,2,1,3,3,1,1,2,1
I think a lot of these are backed by stereotypes and wrong information so correcting that I think will fix some of the issues,-0.673,-1.108,-0.765,-0.943,2.181,1.936,0.558,-1.378,-1.607,-1.393,-1.587,-1.425,-0.78,-1.203,-2.413,-1.904,3,3,2,1,1,1,4,3,2,1,2,1
but I just think that it's like a special,-1.377,-1.086,-1.309,-1.043,1.634,1.329,-0.718,-1.467,-1.415,-1.076,-1.306,-1.18,-0.239,-0.135,-1.364,-1.402,3,3,1,1,1,1,3,4,2,1,1,1
it is it all okay yeah for local IT jobs,-1.391,-1.54,-1.531,-1.372,-0.651,-0.948,-2.445,-1.861,-1.55,-1.561,-0.863,-1.285,0.149,-0.616,-3.046,-2.103,2,3,2,1,1,1,2,3,2,1,2,1
that's it for me so,-1.577,-1.509,-1.52,-1.36,-0.429,-0.743,-2.444,-1.71,-1.445,-1.53,-1.46,-1.218,-0.062,-0.55,-1.98,-1.827,3,3,1,2,1,1,3,3,2,1,1,1
the word or situation and also,-1.684,-1.545,-1.574,-1.44,-0.708,-1.134,-2.862,-1.958,-1.025,-1.222,-0.861,-1.164,-0.415,-0.477,-0.92,-1.474,2,3,1,1,1,1,3,2,1,1,2,1
for example Vietnam China or other nearby country however,-1.353,-1.361,-1.223,-1.065,0.139,0.283,-0.131,-1.557,0.773,0.949,1.039,-0.597,5.264,3.956,-0.686,0.357,2,2,1,1,2,1,3,3,1,1,2,1
they got the Weaponry from the America before before said I was saying died so they,-0.743,-0.46,-1.212,-1.095,0.258,0.047,-1.298,-0.846,-0.723,-0.81,-1.132,-1.076,2.595,1.922,-1.216,-1.207,3,3,2,2,2,1,3,3,2,2,2,1
of sudden a incoming of a large number of people in the general,0.866,0.285,0.667,-0.603,0.457,1.246,-0.44,0.816,-1.442,-1.31,-1.389,-1.188,-0.661,-0.92,-2.456,-1.801,3,3,1,1,1,1,3,3,1,1,2,1
system right it they are basically allowing it but once it happens,-1.27,-1.344,-1.493,-1.327,-0.054,-0.472,0.286,-1.752,-0.953,-0.883,-0.984,-1.009,0.147,0.106,-1.997,-0.616,3,3,1,1,1,1,3,3,1,1,1,1
and of course it should be all based on the legal legal boundary we have to,-0.724,0.934,-0.309,-0.814,-0.677,-0.343,-0.31,0.484,-1.419,-0.917,-1.407,-1.276,-0.443,-0.883,-0.958,-1.411,3,3,1,1,2,1,3,3,1,1,1,1
I'm not saying that we should just stop accepting all those people because of fear and,-1.624,-1.452,-1.534,-1.419,-0.699,-1.138,-2.555,-1.916,-1.287,-1.528,-1.343,-1.184,-0.624,-1.034,-0.7,-1.631,2,3,1,1,1,1,3,3,1,1,1,1
should be the new market of Korea it is an investment for the future,-1.416,-1.307,-1.368,-1.124,-0.141,-0.314,0.141,-0.931,-0.98,-0.738,-0.909,-0.717,0.0,-0.157,-0.829,-1.391,3,3,1,2,2,1,3,3,1,2,2,1
I think there is no one who can be responsible for the point so we cannot,-1.583,-1.581,-1.606,-1.429,-0.831,-1.039,-2.528,-2.054,-1.341,-1.515,-1.085,-1.167,0.919,-0.966,-1.202,-1.844,3,3,1,1,2,1,3,3,1,1,2,1
to like connect to be 70s and or be more compassionate towards them so yeah it's,-1.562,-1.24,-1.499,-1.341,-0.804,-0.887,-2.101,-1.586,-1.525,-1.369,-1.469,-1.36,-0.795,-1.045,-1.305,-1.521,3,3,1,1,1,1,4,3,1,1,1,1
countries for you know as long as people and over there those people,-1.397,-1.44,-1.456,-1.391,-0.975,-0.941,-2.123,-1.956,-0.983,-0.895,-1.265,-1.093,0.611,0.912,-0.186,-1.095,3,3,1,1,1,1,4,3,1,1,1,1
I,-1.473,-0.201,-1.089,-1.299,1.019,0.98,0.234,-0.806,0.486,-0.559,-1.075,-1.029,0.771,0.468,-0.97,-0.833,2,3,1,1,1,1,3,3,1,1,2,1
well just seeing the Christ Community of the separation between the international population,-1.298,-1.249,-1.448,-1.219,-0.78,-0.731,-2.132,-1.527,-1.587,-1.221,-1.288,-1.33,-0.28,-0.63,-1.339,-1.412,3,3,1,2,1,1,4,3,1,1,2,1
for taking their life,-0.508,-0.399,-0.329,-1.065,1.844,2.586,-1.069,-1.348,-1.259,-1.231,-1.25,-1.117,-0.214,-0.577,-1.099,-1.805,4,3,1,1,2,1,3,3,2,1,2,1
of immigrant from other country right but most of them as far as I know come from Asian country and,-1.356,-1.183,-1.406,-1.38,-0.235,-0.132,-0.15,-1.233,1.787,2.303,4.979,0.349,7.945,4.867,0.628,1.263,2,2,1,1,2,1,3,3,1,1,2,1
that technically belong to the younger generation however what I like to argue is,-1.501,-1.355,-1.241,-1.306,0.787,0.045,-2.212,-1.882,-1.576,-0.696,-1.284,-1.193,0.746,-0.362,-1.916,-1.154,3,3,2,1,1,1,4,3,2,1,2,1
home country is becoming Wheels good get better and they can,-1.495,-1.399,-1.38,-1.338,-0.442,-0.941,-2.792,-1.842,-0.853,-1.048,-1.367,-1.152,-0.072,-0.66,-0.934,-1.409,4,3,1,2,2,1,3,3,1,1,2,1
because people from that area area,-1.359,-1.334,-1.402,-1.293,0.109,-0.294,-0.55,-1.292,-0.134,-1.051,-0.318,-0.928,3.955,4.372,-1.186,-1.678,2,3,2,1,1,1,4,4,1,2,1,1
