new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2
of the very wealthy have the variables we have a lot of money but the,20,2,2,0,0,0,0,20,1,2,0,0,0,0,-1.191,-1.172,-1.333,-1.276,-0.069,-0.046,-1.504,-1.786,-1.563,-1.361,-1.418,-1.313,-0.475,0.225,-1.908,-1.766
bottom there are there are a lot of people who doesn't have enough money and they struggle to live out their everyday,25,2,2,0,0,0,0,25,2,2,0,0,0,0,-0.9,-0.115,-1.093,-1.162,3.066,0.894,1.2,-0.736,-1.643,-1.502,-1.552,-1.389,-0.801,-1.094,-1.956,-1.754
lives in this in this in this in this chaotic time period in,30,1,2,0,0,0,0,30,1,2,0,0,0,0,-0.977,-1.21,-0.944,-1.035,1.064,0.805,0.552,-1.186,-1.316,-1.376,-1.223,-1.193,-0.267,-0.119,-1.397,-0.722
am accepting Yemen universities may actually further,35,1,2,0,0,0,0,35,1,2,0,0,0,0,-1.362,-0.721,-1.325,-1.17,1.084,0.882,-0.886,-0.664,-1.248,-1.359,-1.345,-1.073,-0.015,-0.407,0.395,-1
kiosk the our government taxes are limited,40,1,2,0,0,1,0,40,2,2,0,0,0,0,-1.02,-0.395,-0.978,-1.102,4.845,0.822,-0.749,-1.016,-1.685,-1.462,-1.538,-1.452,-0.759,-1.229,-2.715,-1.961
and if we have to give the refugees government's print out of our own taxes,45,2,2,0,0,1,0,45,2,2,0,0,0,0,-1.155,-1.334,-1.029,-1.34,0.784,0.396,0.275,-1.357,-1.676,-1.561,-1.558,-1.325,-0.614,-1.041,-1.946,-1.754
then that much that much money has to be taken from,50,1,2,0,0,1,0,50,1,2,0,0,0,0,-0.617,0.691,-0.855,-1.205,8.096,3.063,-0.663,-1.211,-1.71,-1.625,-1.622,-1.468,-1.009,-1.311,-2.45,-2.032
somewhere else and I think that that money can be,55,2,2,0,0,1,0,55,1,2,0,0,0,0,-1.345,-0.984,-1.228,-1.183,1.636,0.611,-0.16,-1.349,-1.694,-1.598,-1.612,-1.452,-1.063,-1.274,-2.368,-2.074
used that money should be first least for our own people first,60,1,2,0,0,1,0,60,1,2,0,0,0,0,-1.075,-0.621,-1.278,-1.15,1.257,0.594,-1.078,-1.669,-1.452,-1.452,-1.412,-1.312,-0.521,-0.063,-1.863,-0.928
if you are a nice if our country was a stable,65,2,2,0,0,1,0,65,2,2,0,0,0,0,-1.27,-1.093,-1.293,-1.339,1.751,1.847,-0.446,-1.617,-1.315,-1.46,-1.445,-1.303,0.325,-0.362,-2.434,-1.654
country and if we had a lot of money that we can spend when,70,2,2,0,0,1,0,70,1,2,0,0,0,0,-0.918,0.655,-1.074,-1.105,2.535,1.234,-0.288,-0.388,-1.412,-1.418,-1.418,-1.345,-0.162,-0.754,-1.633,-1.6
sure we should accept refugees but our state our situation isn't very good right now so I think,75,2,2,0,0,1,0,75,1,2,0,0,0,0,-1.503,-1.065,-1.391,-1.144,0.433,0.267,0.924,-1.331,-1.649,-1.577,-1.555,-1.413,-0.981,-1.11,-1.658,-1.662
that we need to say we need to stabilize our economy first and then letting the refugees later,80,1,2,0,0,1,0,80,2,2,0,0,0,0,-0.657,0.006,-0.662,-0.777,2.832,2.751,1.344,-0.335,-1.466,-1.443,-1.555,-1.327,-0.761,-1.086,-2.845,-1.842
when when when it's acceptable to do so,85,1,2,0,0,1,0,85,1,2,0,0,0,0,-0.768,-0.967,-0.667,-1.234,1.399,1.447,0.088,-0.767,-1.713,-1.571,-1.526,-1.425,-0.857,-0.931,-2.458,-1.978
okay well first of all,90,1,2,0,0,1,0,90,2,2,0,0,0,0,-0.858,-0.718,-1.274,-1.144,1.673,0.538,-1.074,-1.307,-1.523,-1.475,-1.493,-1.377,-0.425,-0.71,-2.369,-1.912
I'm not really sure what you mean by we have an unstable economy,95,1,2,0,0,1,0,95,2,2,0,0,0,0,-1.027,-0.994,-1.098,-1.133,1.735,0.858,0.482,-1.216,-1.288,-1.464,-1.492,-1.192,-0.318,-0.986,0.212,-0.863
over the chaotic State compared to many other,100,1,2,0,0,1,0,100,2,1,0,0,0,0,-1.235,-1.403,-1.416,-1.335,0.565,0.321,1.096,-1.53,-1.202,-0.724,-0.985,-0.691,-0.105,-0.076,0.276,-1.174
countries I do believe Korea is very,105,1,2,0,0,0,0,105,2,2,0,0,0,0,-1.197,-0.723,-0.784,-1.285,1.144,2.559,-0.426,-1.057,-0.826,-0.705,-1.093,-1.007,0.359,-0.297,-0.718,-1.209
stable economy and if you just look at the GDP,110,1,2,0,0,1,0,110,2,1,0,0,0,0,-0.94,-1.074,-0.723,-0.687,2.524,2.539,-0.132,0.172,-1.017,-0.681,-0.6,-0.575,0.86,2.493,1.233,-0.085
people over love and beside I don't think this should be the or problem the core,115,1,2,0,0,1,0,115,2,2,0,0,0,0,-0.556,0.397,-0.708,-1.037,3.473,3.821,0.69,-1.031,-1.299,-1.263,-1.301,-1.097,-0.219,-0.554,0.225,-1.11
of the problem is that there is a crisis happening and,120,1,2,0,0,1,0,120,2,1,0,0,0,0,-1.027,0.26,-0.597,-0.398,3.001,2.069,-0.825,-1.072,-1.366,-0.962,-1.235,-1.109,-0.165,-0.572,-0.239,-1.035
we should prioritize human life over any like political or cultural,125,1,2,0,0,1,0,125,2,1,0,1,0,0,-0.101,-0.533,-0.19,-0.327,5.425,7.138,0.162,1.362,-1.487,-1.356,-1.561,-1.318,-0.386,-0.837,-1.567,-1.954
conflicts and you know,130,1,2,0,0,1,0,130,2,1,0,1,0,0,-1.181,-0.773,-1.041,-1.155,1.149,0.176,-1.107,-0.926,-0.889,-0.422,-0.845,-0.866,0.896,0.433,-0.749,-0.992
you say we wait until,135,1,2,0,0,0,0,135,2,1,0,1,0,0,-1.66,-1.517,-0.933,-1.278,0.573,-0.308,-2.517,-1.896,-1.408,-1.314,-1.323,-1.205,-0.566,0.079,-0.954,-1.913
our economy is stabilized with there's less chaos but the crisis isn't going to wait for us,140,1,2,0,0,0,0,140,2,1,0,1,0,0,-1.33,-1.217,-0.703,-1.052,1.333,3.047,-0.886,-0.687,-1.361,-1.453,-1.462,-1.112,-0.624,-0.559,-1.372,-1.739
War isn't going to wait for people to be ready,145,1,2,0,0,0,0,145,2,2,0,0,1,0,-1.273,-1.108,-1.224,-1.227,-0.356,0.103,-1.434,-1.46,-0.99,-1.294,-1.329,-1.071,-0.23,-0.163,-0.443,-1.019
to take refugees I think we should really have to see what what what,150,1,2,0,0,1,0,150,2,2,0,0,1,0,-0.931,-0.847,-0.897,-1.096,2.221,1.96,-1.468,-0.539,-1.341,-1.377,-1.392,-1.272,-0.224,-0.26,-1.769,-1.509
what is the on a human level or is the priority,155,1,2,0,0,0,0,155,2,1,0,0,0,0,-1.313,-1.064,-1.019,-1.311,0.886,0.731,-1.51,-1.066,-1.278,-1.422,-1.456,-1.324,-0.544,-0.949,-1.49,-1.695
oh,160,1,2,0,0,0,0,160,2,2,0,0,0,0,-0.377,-0.117,-0.433,-0.855,4.695,6.449,0.733,-1.061,-0.943,-0.529,-1.093,-1.123,0.62,0.722,-0.673,-0.606
yeah that's my favorite,165,1,2,0,0,0,0,165,2,2,0,0,0,0,-0.555,0.737,0.317,-0.959,6.113,10.611,0.217,-1.232,-1.502,-1.433,-1.414,-1.342,-0.325,-0.19,-0.509,-1.328
he said I have to prioritize over human life but in,170,1,2,0,0,1,0,170,2,1,0,0,1,0,-1.558,-1.216,-1.314,-1.26,0.777,0.355,-0.091,-1.679,-1.669,-1.489,-1.54,-1.432,-0.808,-1.038,-2.634,-1.976
any said our economy isn't it's a very good economy the GDP is,175,1,2,0,0,1,0,175,2,2,0,0,1,0,-1.477,-1.36,-1.469,-1.254,0.063,-0.208,-0.907,-1.453,-1.649,-1.533,-1.485,-1.418,-0.797,-1.136,-2.685,-1.934
high countries other countries but you have to take into account that the GP,180,2,2,0,0,1,0,180,1,2,0,0,0,0,-1.076,-0.649,-0.981,-0.967,2.78,0.208,-0.463,-0.902,-1.678,-1.436,-1.461,-1.382,-0.648,-1.015,-2.439,-1.726
is the average amount of income there are because,185,2,2,0,0,1,0,185,1,2,0,0,0,0,-1.16,-0.587,-0.841,-0.79,1.291,2.518,0.583,0.038,-1.267,-1.206,-1.415,-1.329,-0.551,-0.75,-0.292,-1.22
there are people at the very bottom of the society chain that struggle to live,190,2,2,0,0,1,0,190,1,2,0,0,0,0,-0.334,-0.737,-0.619,-0.844,2.925,4.235,0.634,-0.461,-1.573,-1.523,-1.518,-1.427,-0.312,-0.915,-1.897,-1.912
out their lives and I'll show you I'm not we shouldn't,195,2,2,0,0,1,0,195,2,2,0,0,0,0,-0.77,-0.389,-1.154,-0.957,1.408,1.942,2.139,-0.716,-1.631,-1.313,-1.507,-1.303,-0.689,-0.756,-1.948,-1.411
prioritize what human life but I'm wondering if whether that priority should extend,200,2,2,0,0,1,0,200,2,2,0,0,0,0,-0.854,-0.909,-0.843,-0.609,3.805,2.386,-0.152,-0.616,-1.71,-1.556,-1.632,-1.446,-1.127,-1.273,-2.745,-1.9
to foreigners first I think that all of there are other,205,2,2,0,0,1,0,205,2,2,0,0,0,0,-0.564,-0.346,-1.025,-0.736,3.533,3.631,0.728,-0.961,-1.635,-1.619,-1.638,-1.41,-0.976,-1.285,-2.475,-1.932
countries there are other countries who are able to accept the refugees and,210,2,2,0,0,1,0,210,1,2,0,0,0,0,0.046,-0.725,-0.645,-0.592,3.57,2.393,1.374,-0.112,-1.299,-1.222,-1.539,-1.372,-0.621,-0.97,-0.75,-1.711
their are Koreans who are struggling so we should,215,2,2,0,0,1,0,215,2,2,0,0,0,0,-0.61,0.605,0.575,-0.937,2.944,3.096,1.456,-0.795,-1.181,-1.056,-1.168,-1.169,0.424,-0.03,0.459,-1.195
take care of them first,220,2,2,0,0,1,0,220,1,2,0,0,0,0,-0.003,-0.572,-0.755,-1.033,5.335,2.1,-1.483,-0.752,-1.19,-1.416,-1.049,-1.082,0.324,0.624,-0.669,-1.092
well the thing about the whole texting is that,225,2,2,0,0,1,0,225,1,2,0,0,0,0,-0.97,-1.108,-1.149,-1.144,2.167,1.31,-0.714,-1.312,-1.193,-1.057,-1.073,-1.062,0.432,-0.021,-0.181,-1.392
you speak as if we are sacrificing our citizens,230,2,2,0,0,1,0,230,1,2,0,0,0,0,-0.902,-0.331,-0.917,-1.062,7.424,3.388,1.148,-0.042,-1.205,-1.462,-1.164,-1.093,0.059,0.559,0.045,-1.133
like money that was already reserved for citizens to,235,2,2,0,0,1,0,235,2,2,0,0,0,0,-0.61,-0.506,-1.073,-0.932,1.844,1.457,-0.473,0.002,-1.513,-1.29,-1.547,-1.359,-0.449,-0.873,-1.059,-1.487
the yemeni people but that's just not the case it's,240,2,2,0,0,1,0,240,2,2,0,0,0,0,-1.399,-1.213,-1.174,-1.189,0.849,0.337,-1.205,-1.309,-1.467,-1.478,-1.54,-1.313,-0.621,-0.799,-1.286,-1.622
as if it's not as if there was money allocated for the pole to pole in Korean,245,1,2,0,0,1,0,245,2,2,0,0,1,0,-0.732,-0.232,-0.628,-0.833,3.484,3.01,0.755,0.64,-1.356,-1.252,-1.221,-1.092,0.165,-0.315,1.708,-0.463
and that has been shifted towards the yemeni people I'm,250,1,2,0,0,1,0,250,3,2,0,0,0,0,-0.891,-0.802,-0.789,-1.156,2.305,2.292,0.513,-0.698,-1.069,-1.317,-1.291,-1.261,0.304,-0.595,-0.769,-0.483
sure with enough intent the government would be flexible enough to allocate,255,2,2,0,0,1,0,255,2,2,0,0,0,0,-0.575,-0.342,-1.041,-1.024,4.152,0.48,-1.152,-0.2,-0.933,-1.099,-1.294,-1.069,-0.003,0.36,-0.698,-0.97
enough money for both problems may be called from something that,260,2,2,0,0,1,0,260,3,2,0,0,0,0,-0.12,0.34,-0.003,-0.245,5.375,5.696,-0.612,0.538,-1.216,-1.399,-1.34,-1.005,0.116,-0.313,-0.601,-1.486
is not really,265,1,2,0,0,1,0,265,3,2,0,0,0,0,-0.163,-0.413,-0.314,-1.162,2.498,0.987,1.403,-1.21,-1.354,-1.375,-1.48,-1.278,-0.463,-0.694,-1.276,-1.703
it's not be so direct to people's lives,270,1,2,0,0,0,0,270,3,2,0,0,0,0,-0.659,-1.215,-0.376,-1.235,2.227,4.161,-0.31,0.087,-1.311,-1.029,-1.208,-1.157,0.088,-0.513,-2.237,-1.562
for example you know with any government,275,1,2,0,0,0,0,275,3,2,0,0,0,0,-0.268,-0.199,-0.604,-0.942,3.858,3.236,-0.533,-0.21,-1.636,-1.133,-1.432,-1.37,-0.357,-0.767,-1.377,-1.749
any government that's that's involved in some kind of,280,1,2,0,0,0,0,280,3,2,0,0,0,0,-0.961,-1.275,-1.214,-1.244,0.977,0.624,0.459,-1.621,-0.81,-1.265,-1.312,-1.115,0.151,-0.149,-0.86,-1.72
international conflict especially especially Innovative,285,1,2,0,0,0,0,285,2,2,0,0,0,0,-1.096,-0.441,-0.829,-0.896,3.297,1.566,0.6,-1.156,-1.564,-1.334,-1.262,-1.301,-0.39,-0.625,0.73,-1.567
Korean warm move to the taxes actually go to the military,290,1,2,0,0,0,0,290,2,2,0,0,0,0,-1.322,-1.177,-1.428,-1.367,0.201,-0.066,-0.834,-1.279,-1.361,-1.496,-1.296,-1.227,-0.368,-0.227,1.05,-1.539
and the proportions are amazing how,295,1,2,0,0,0,0,295,2,2,0,0,0,0,-1.503,-1.558,-1.294,-1.256,0.344,0.738,-1.386,-1.797,-0.928,-0.98,-1.287,-1.194,0.505,-0.243,0.271,-1.128
how much actually goes into the tree and how little goes into public service,300,1,2,0,0,0,0,300,2,2,0,0,0,0,-0.782,-0.495,-0.529,-0.655,3.798,3.446,0.639,-0.34,-1.581,-1.241,-1.476,-1.315,-0.299,-0.046,-0.415,-1.455
and I just don't think that that's the first thing that we should focus on it's,305,1,2,0,0,0,0,305,2,2,0,0,0,0,-0.336,-0.435,-0.905,-1.003,2.041,3.182,1.235,-0.938,-1.52,-1.267,-1.514,-1.328,-0.886,-1.199,-1.309,-1.528
not a weighing scale between all the cool people Korean,310,1,2,0,0,0,0,310,2,2,0,0,0,0,-1.156,-1.169,-1.082,-1.055,0.802,2.724,-0.352,-1.194,-1.452,-0.901,-1.448,-1.37,-0.754,-1.104,-1.781,-1.527
and the yemeni people,315,1,2,0,0,0,0,315,2,2,0,0,0,0,-0.541,-0.262,-0.588,-0.803,5.155,2.892,0.611,-0.711,-1.264,-1.506,-1.486,-1.376,-0.51,-0.488,-1.113,-1.724
you talked about the,320,1,2,0,0,0,0,320,2,2,0,0,0,0,-0.365,-0.432,-0.923,-0.733,3.101,1.842,0.322,-0.63,-1.57,-1.592,-1.507,-1.445,-1.118,-1.343,-2.813,-2.039
money you talk about life we can reject the money that goes into the military and we start,325,1,2,0,0,1,0,325,2,2,0,0,0,0,1.303,1.858,0.133,-0.608,5.227,7.748,1.215,-0.167,-1.651,-1.58,-1.599,-1.418,-0.919,-1.072,-2.621,-1.998
to take care of the yemeni citizen strength but,330,1,2,0,0,1,0,330,2,2,0,0,0,0,-0.929,-1.367,-0.52,-1.087,1.351,0.858,-1.315,-1.374,-1.205,-1.095,-1.382,-1.224,-0.404,-0.037,-0.121,-1.44
that's quite it's not asking for that we all,335,1,2,0,0,0,0,335,2,2,0,0,0,0,-0.967,-0.896,-0.753,-0.908,2.609,1.705,1.214,-1.27,-1.567,-1.353,-1.504,-1.28,-0.298,-0.696,-2.226,-1.894
those amazing peaceful we are in a crisis of world and I was going to Korea and there,340,1,2,0,0,0,0,340,2,2,0,0,0,0,-1.491,-1.364,-1.314,-1.196,0.527,-0.208,-0.926,-1.698,-1.484,-1.403,-1.291,-1.255,-0.684,-0.865,-2.002,-1.749
are political factions including the tug of Americans that encourages,345,1,2,0,0,1,0,345,2,2,0,0,0,0,-0.652,1.258,0.038,-0.895,5.84,3.515,0.087,0.049,-1.466,-1.139,-1.469,-1.125,-0.666,-0.976,-0.955,-1.77
and force us to and extraneous amount of money towards the military,350,2,2,0,0,1,0,350,1,2,0,0,0,0,0.155,-0.153,-0.733,-0.841,6.098,4.309,0.217,-0.867,-1.684,-1.606,-1.601,-1.438,-1.065,-1.123,-2.534,-2.029
for their own safety and for our own safety as well so,355,2,2,0,0,0,0,355,1,2,0,0,0,0,-0.794,-0.831,-0.486,-0.826,2.279,2.232,0.693,-0.459,-1.415,-1.209,-1.511,-1.317,-0.702,-0.775,-1.069,-1.215
sure it's a good idea is if he just if,360,2,2,0,0,0,0,360,1,2,0,0,0,0,-1.519,-1.277,-1.359,-1.291,0.473,1.177,-0.719,-1.149,-1.58,-0.926,-1.429,-1.27,-0.734,-0.979,-0.088,-1.869
he stopped the war and reject money III read that money to the yemeni citizens,365,2,2,0,0,0,0,365,1,2,0,0,0,0,-0.076,-0.696,-0.364,-0.762,3.792,2.521,0.658,-1.16,-1.483,-1.03,-1.408,-0.999,0.474,0.387,-1.2,-1.458
but if that doesn't but that's not that's quite realistically,370,2,2,0,0,0,0,370,1,2,0,0,0,0,-0.213,1.521,-0.578,-0.843,2.404,1.459,-0.031,-0.309,-1.49,-0.877,-1.434,-1.297,-0.635,-0.566,-1.226,-1.191
man there are forces that we have to contend with and,375,2,2,0,0,0,0,375,1,2,0,0,0,0,-0.654,-0.446,-0.999,-1.223,1.951,0.584,-0.636,-1.104,-1.176,-1.215,-1.401,-1.189,0.084,-0.733,-0.309,-1.265
they may not allow us to make that decision so easily,380,2,2,0,0,0,0,380,2,2,0,0,0,0,-0.877,-0.784,-0.595,-0.973,4.315,3.791,0.959,-1.502,-1.319,-1.037,-1.267,-1.22,-0.325,-0.462,-0.191,-1.584
so what I'm seeing is that like taking Indian citizens is great,385,2,2,0,0,0,0,385,1,2,0,0,0,0,0.14,-0.001,-0.076,-0.913,6.611,6.007,2.642,1.437,-1.378,-1.283,-1.286,-1.153,-0.232,-0.074,-1.267,-1.544
but only if the situation with situation allows self I mean I think that,390,2,2,0,0,1,0,390,1,2,0,0,0,0,-0.375,-1.016,-0.798,-1.079,1.402,1.611,0.265,-1.254,-0.92,-0.98,-1.112,-1.158,1.207,1.002,1.609,-0.752
our society can take care of that right now,395,2,2,0,0,1,0,395,1,2,0,0,0,0,-0.454,-0.796,-0.963,-1.089,2.209,4.163,-1.156,-1.168,-0.907,-1.042,-1.321,-1.103,-0.052,-0.451,0.102,-1.252
I,400,2,2,0,0,0,0,400,1,2,0,0,0,0,-1.012,-1.028,-0.653,-1.229,0.565,0.851,-1.101,-1.068,-1.2,-1.05,-1.34,-1.247,-0.129,-0.536,-0.078,-1.453
mean,405,2,2,0,0,0,0,405,1,2,0,0,0,0,-0.736,0.097,0.023,-0.823,2.552,4.087,-0.02,0.839,-1.386,-1.297,-1.45,-1.328,-0.761,-0.84,-2.046,-1.779
I guess we can go about,410,2,2,0,0,0,0,410,1,2,0,0,0,0,-1.062,-0.833,-0.774,-1.08,2,0.996,-0.193,-0.453,-1.296,-1.349,-1.447,-1.26,-0.66,-0.81,-0.767,-1.711
the whole allocation of money thinking much more detailed my,415,2,2,0,0,0,0,415,1,2,0,0,0,0,-0.762,-0.784,-1.022,-1.249,2.193,0.711,-0.023,-1.018,-1.369,-1.382,-1.292,-1.237,-0.096,-0.318,-1.135,-1.365
main point is that,420,2,2,0,0,0,0,420,1,1,0,0,0,0,-1.363,-0.72,-1.163,-1.15,0.843,0.265,0.739,-0.389,-1.393,-1.342,-1.424,-1.222,0.438,0.143,1.726,-1.131
the first thing that we think you know taken away so to speak the from,425,2,2,0,0,0,0,425,1,1,0,0,1,0,-0.856,-1.234,-1.143,-0.933,0.009,-0.039,-0.412,-0.47,-1.29,-1.376,-1.519,-1.355,-0.12,-0.758,-1.416,-1.717
the tax money shouldn't be Department of Public Service,430,1,2,0,0,0,0,430,2,1,0,0,0,0,-1.238,-1.087,-0.53,-1.126,4.463,0.755,-0.326,0.173,-1.275,-1.306,-1.194,-1.128,0.056,0.234,0.044,-1.621
it's not as if,435,1,2,0,0,0,0,435,2,2,0,0,1,0,-1.336,-1.125,-1.226,-0.935,0.271,0.254,-0.459,-1.63,-1.624,-1.389,-1.465,-1.247,0.559,-0.031,-0.832,-1.511
this is a my point still stands that it's not as the money,440,1,2,0,0,1,0,440,2,2,0,0,1,0,-1.234,1.078,-0.182,-0.254,4.211,5.338,-0.158,-0.287,-1.48,-1.536,-1.478,-1.329,-0.57,-0.567,-0.168,-1.689
going into the amnesty of these yemeni people is,445,1,2,0,0,1,0,445,2,2,0,0,1,0,-0.766,1.646,0.455,-0.238,5.811,5.752,1.361,-0.239,-0.358,-0.592,-1.28,-0.978,0.364,0.297,-0.873,-1.125
is directed straight from the public service cut,450,1,2,0,0,0,0,450,2,2,0,0,1,0,-1.205,-0.539,-1.062,-1.122,1.507,1.625,-0.269,-0.843,-1.321,-1.32,-1.468,-1.236,0.072,-0.45,-1.524,-1.189
I,455,1,2,0,0,0,0,455,2,2,0,0,1,0,-1.473,-0.201,-1.089,-1.299,1.019,0.98,0.234,-0.806,0.486,-0.559,-1.075,-1.029,0.771,0.468,-0.97,-0.833
really do not know what the topic is,460,1,2,0,0,0,0,460,2,2,0,0,1,0,-0.958,-1.044,-0.879,-1.187,0.937,2.031,-0.395,-0.646,-1.184,-1.387,-1.302,-1.181,0.66,-0.203,0.345,-0.656
but I would still,465,1,2,0,0,0,0,465,2,2,0,0,1,0,-1.015,-0.156,-0.656,-1.091,3.275,2.182,-1.032,-0.65,-1.526,-1.51,-1.436,-1.288,0.16,-0.393,-0.752,-1.627
like to say like sick,470,1,2,0,0,0,0,470,2,2,0,0,1,0,-1.379,-1.415,-1.424,-1.251,-0.061,-0.475,-0.402,-1.527,-1.113,-1.108,-1.355,-1.152,0.562,-0.203,1.288,-0.311
at least at least we should really focus on,475,1,2,0,0,0,0,475,2,2,0,0,1,0,-1.473,-1.285,-1.472,-1.286,-0.242,-0.285,-0.947,-1.48,-1.232,-1.369,-1.39,-1.276,0.483,-0.064,0.553,-1.341
if there are other countries that is,480,1,2,0,0,1,0,480,2,2,0,0,1,0,-1.26,-1.398,-1.39,-1.298,0.624,-0.132,-0.139,-1.701,-1.36,-1.344,-1.422,-1.31,-0.563,-0.93,-2.099,-1.647
your daily people could realistically go to Ocean First consider the wires it is happening,485,1,2,0,0,0,0,485,2,2,0,0,1,0,-1.387,-1.351,-1.345,-1.262,0.389,-0.397,-0.819,-1.408,-1.458,-1.572,-1.521,-1.33,-0.468,-1.062,-2.023,-1.719
already and the second point is,490,1,2,0,0,1,0,490,2,2,0,0,1,0,-0.35,-0.992,-0.789,-0.383,2.901,1.692,-0.545,0.663,-0.861,-1.107,-1.322,-1.129,-0.019,0.359,0.896,-1.788
I think people are focusing way too much on what to have these people inside,495,1,2,0,0,1,0,495,2,2,0,0,0,0,-0.898,-0.863,-0.903,-1.142,1.607,0.963,0.702,-1.189,-1.278,-0.745,-1.222,-1.333,0.765,0.643,0.858,-0.611
the country or not rather than you know how to solve this crisis not know how to solve this question about what you know what we can,500,2,3,0,0,0,0,500,2,2,0,0,0,0,-1.319,-1.076,-1.285,-1.279,0.038,2.342,-0.168,-1.751,-1.554,-1.463,-1.284,-1.374,-0.33,-0.52,-0.435,-1.625
do to help this crisis and we had to we should really think about what if people,505,1,2,0,0,0,0,505,2,2,0,0,0,0,-1.265,-1.353,-0.997,-1.207,1.783,1.568,-0.238,-1.185,-1.565,-1.418,-1.403,-1.415,-0.65,-0.838,-1.57,-1.744
I,510,1,2,0,0,0,0,510,2,2,0,0,0,0,-1.157,-0.707,-0.962,-1.247,2.235,1.509,-0.093,-0.004,-1.611,-1.217,-1.197,-1.13,1.106,-0.228,-1.128,-1.512
okay so I think one of the major cons of,5,1,2,0,0,0,0,5,1,2,0,0,0,0,-1.16,-1.251,-1.343,-1.066,-0.561,-0.005,-1.105,-0.838,-1.29,-1.046,-1.486,-1.029,0.055,-0.248,-1.275,-1.633
letting the enemies of Jesus Korea is this idea of Koreans come first so if,10,1,2,0,0,0,0,10,1,2,0,0,0,0,-1.553,-1.543,-1.552,-1.266,-0.788,-1.057,-1.762,-1.737,-0.554,-1.335,-1.206,-0.576,0.883,0.417,0.697,0.09
you look at the statistics the majority of the people who are against the Emmys,15,2,2,0,0,0,0,15,2,2,1,0,0,0,-1.432,-0.646,-1.347,-1.186,0.145,-0.571,-2.403,-1.249,-1.57,-1.404,-1.461,-1.164,-0.561,-0.553,-2.028,-1.827
refugees were actually people in their twenties and thirties and middle-income individuals,20,2,2,0,0,0,0,20,2,2,1,0,0,0,-1.584,-1.491,-1.487,-1.37,-0.354,-0.78,-2.544,-1.515,-1.225,-1.401,-1.48,-1.297,-0.765,-0.707,-0.731,-1.863
in the middle income class and,25,2,2,0,0,0,0,25,1,2,0,0,0,0,-1.616,-1.403,-1.594,-1.403,-1.048,-1.272,-2.379,-1.895,-1.568,-1.515,-1.481,-1.196,-0.427,-0.595,-2.421,-1.597
this is although this this is although this is a hypothesis this may stem from the fact that there's a,30,2,2,0,0,0,0,30,1,2,0,0,0,0,-1.482,-1.519,-1.549,-1.361,-0.941,-1.149,-2.325,-1.691,-1.568,-1.394,-1.452,-1.367,-0.393,-0.566,-0.446,-1.716
high levels of youth unemployment so there is this concept of this idea that,35,2,2,0,0,1,0,35,1,2,0,0,0,0,-1.668,-1.546,-1.587,-1.417,-1.085,-1.164,-2.689,-1.935,-1.365,-1.176,-1.325,-1.392,-0.367,-0.888,-1.905,-1.815
why are we letting these refugees come in and why are we spending taxpayers,40,1,2,0,0,0,0,40,1,2,0,0,0,0,-1.575,-1.169,-1.468,-1.388,-0.763,-0.647,-2.062,-1.447,-1.402,-0.937,-1.385,-1.385,1.206,-0.267,-1.575,-1.747
money on them when we should be focusing on other important issues that are more relevant to,45,2,2,0,0,0,0,45,1,2,0,0,0,0,-1.213,-1.045,-1.265,-1.26,0.116,-0.506,-0.734,-1.316,-1.309,-1.373,-1.383,-1.341,-0.408,-0.982,-2.505,-1.896
current people such as this idea of youth unemployment yeah,50,1,2,0,0,0,0,50,1,2,0,0,0,0,-1.246,-1.146,-1.429,-1.308,0.102,-0.27,-0.265,-1.242,-1.533,-1.396,-1.503,-1.257,-0.659,-0.658,-3.022,-1.967
and also the second point is that because of the mass in flux,55,2,2,0,0,0,0,55,1,2,0,0,0,0,0.566,0.507,-0.585,-0.794,4.341,3.344,2.723,-0.166,-1.327,-1.323,-1.271,-1.223,-0.458,-0.437,-1.69,-1.517
so in 2015 there said there were no in no refugees but number drastically,60,1,2,0,0,0,0,60,1,2,0,0,0,0,-1.37,-1.065,-1.21,-1.224,0.191,0,-0.63,-1.655,-1.464,-1.428,-1.536,-1.385,-0.698,-0.871,-2.683,-1.955
increased so it also seems like they could potentially be taking advantage of the system,65,1,2,0,0,0,0,65,1,2,0,0,0,0,-0.728,-0.151,-1.211,-1.209,0.854,0.036,0.107,-0.905,-1.597,-1.447,-1.425,-1.347,-0.662,-0.947,-2.82,-1.519
or Korean Korean law,70,2,2,0,0,0,0,70,2,2,1,0,0,0,-1.395,-1.25,-1.375,-1.247,-0.195,-0.267,-1.575,-1.176,-1.501,-1.547,-1.48,-1.379,-0.519,-0.725,-3.005,-2.05
so yeah I heard your points,75,1,1,0,0,1,0,75,2,2,0,0,0,0,-1.083,-0.389,-1.26,-0.967,1.225,0.593,-0.449,-0.538,-1.546,-1.441,-1.51,-1.346,-0.314,-0.751,-2.943,-1.968
